stratum,feature_family,feature_id,relative_day,n_success,n_control,success_mean,control_mean,success_median,control_median,median_difference,mean_difference,standardized_mean_difference,distribution_overlap,trimmed_mean_difference,outlier_dependence,market_direction_consistency,temporal_direction_consistency,classification,classification_reason,outcome_derived_feature_used
T5_GE_3,MOMENTUM,RSI14,-5,6785,6785,45.49003567646432,48.80475948789358,45.410507599872545,48.124742388700334,-2.7142347888277882,-3.3147238114292534,-0.31617946172412315,0.8826823876197494,-3.04138459016297,0.9175378593161208,0.0,0.0,REGIME_CONFOUNDED,market_or_temporal_direction_is_not_consistent,False
T5_GE_3,MOMENTUM,RSI14,-3,6785,6785,43.91302820642634,47.34743364522072,43.60388293868684,46.89429034756916,-3.2904074088823236,-3.4344054387943785,-0.3204047810230777,0.8393515106853352,-3.367547756906305,0.9805329676185397,0.0,0.0,REGIME_CONFOUNDED,market_or_temporal_direction_is_not_consistent,False
T5_GE_3,MOMENTUM,RSI14,-1,6785,6785,41.28673510735341,46.61693470535111,41.37585874589571,46.11965712716847,-4.743798381272761,-5.330199597997705,-0.4986016302733268,0.8081061164333088,-5.09433555826233,0.9557494920407901,0.0,0.0,REGIME_CONFOUNDED,market_or_temporal_direction_is_not_consistent,False
T5_GE_3,MOMENTUM,RSI14,0,6785,6785,38.1897367473803,44.84319515154591,38.582549226460344,44.27149972454655,-5.688950498086207,-6.653458404165612,-0.6157551729231773,0.7652173913043478,-6.230532841984498,0.9364352286449514,0.0,0.0,REGIME_CONFOUNDED,market_or_temporal_direction_is_not_consistent,False
T5_GE_3,MOMENTUM,MACD_12_26_9,-20,6785,6785,2.760420529699406,1.8518100882481152,-0.016238471267362255,-0.055735339381536506,0.03949686811417425,0.9086104414512908,0.0377819767619409,0.9778924097273395,0.18492554381398713,0.20352566444054088,1.0,0.5,NO_CLEAR_SIGNAL,effect_below_predeclared_discovery_floor,False
T5_GE_3,MOMENTUM,MACD_12_26_9,-10,6785,6785,2.5878916811723265,1.688692437617866,-0.026037472885380775,-0.032297261125088426,0.006259788239707652,0.8991992435544605,0.035069755322790205,0.989535740604274,0.09756356459227122,0.10850049673819842,1.0,0.5,NO_CLEAR_SIGNAL,effect_below_predeclared_discovery_floor,False
T5_GE_3,MOMENTUM,MACD_12_26_9,-5,6785,6785,1.181641321347508,1.3891281396707944,-0.1446705162090993,-0.05694793203597886,-0.08772258417312043,-0.2074868183232863,-0.008448048554983064,0.9927781871775976,-0.196991617565402,0.9494175059278626,0.0,0.5,REGIME_CONFOUNDED,market_or_temporal_direction_is_not_consistent,False
T5_GE_3,MOMENTUM,MACD_12_26_9,-3,6785,6785,0.13096842166234565,1.194529443615235,-0.25292862833058627,-0.10007529895777058,-0.1528533293728157,-1.0635610219528893,-0.04520535880159868,0.9964627855563742,-0.3935487463968976,0.37002930558161234,0.0,0.0,REGIME_CONFOUNDED,market_or_temporal_direction_is_not_consistent,False
T5_GE_3,MOMENTUM,MACD_12_26_9,-1,6785,6785,-1.081724594073007,0.8380622430998393,-0.404140896153437,-0.15818240768668665,-0.24595848846675036,-1.9197868371728464,-0.0859916105125414,0.9948415622697124,-0.5883372229102555,0.3064596607906032,0.0,0.0,REGIME_CONFOUNDED,market_or_temporal_direction_is_not_consistent,False
T5_GE_3,MOMENTUM,MACD_12_26_9,0,6785,6785,-2.0124625123236988,0.4733878074654866,-0.5547242403617006,-0.20761302182103583,-0.34711121854066485,-2.4858503197891855,-0.11443668155452276,0.935740604274134,-0.7441745638342576,0.29936418854750996,0.0,0.0,REGIME_CONFOUNDED,market_or_temporal_direction_is_not_consistent,False
T5_GE_3,MOMENTUM,MACD_SIGNAL_12_26_9,-20,6785,6785,2.55642524205973,1.750604288763127,-0.000815082882602617,-0.04884235661276572,0.0480272737301631,0.805820953296603,0.037280013171621156,0.9848194546794395,0.1862938406638251,0.23118515335410358,1.0,0.5,NO_CLEAR_SIGNAL,effect_below_predeclared_discovery_floor,False
T5_GE_3,MOMENTUM,MACD_SIGNAL_12_26_9,-10,6785,6785,2.634248484303329,1.7478608128907216,-0.025747472911211943,-0.04245545828623874,0.0167079853750268,0.8863876714126073,0.03626895494268514,0.9817243920412673,0.13711016019729916,0.15468419137507985,1.0,0.5,NO_CLEAR_SIGNAL,effect_below_predeclared_discovery_floor,False
T5_GE_3,MOMENTUM,MACD_SIGNAL_12_26_9,-5,6785,6785,2.0898251430325625,1.5914962410985132,-0.059411269297154165,-0.0343299669842808,-0.025081302312873366,0.49832890193404933,0.02033940568696732,0.9941046425939571,-0.021104776542263087,0.04235109876299362,1.0,0.5,NO_CLEAR_SIGNAL,effect_below_predeclared_discovery_floor,False
T5_GE_3,MOMENTUM,MACD_SIGNAL_12_26_9,-3,6785,6785,1.4694105532473791,1.4697967438310564,-0.1216644536998818,-0.05594458620747418,-0.06571986749240762,-0.00038619058367728165,-1.6203960461327672e-05,0.9941046425939571,-0.13897499107916308,359.8611591091949,0.5,0.5,NO_CLEAR_SIGNAL,effect_below_predeclared_discovery_floor,False
T5_GE_3,MOMENTUM,MACD_SIGNAL_12_26_9,-1,6785,6785,0.6564961073694803,1.2728029668030385,-0.2008471211440785,-0.08070434657330974,-0.12014277457076875,-0.6163068594335582,-0.026882247606810482,0.9970523212969785,-0.2793053638564166,0.4531920415637163,0.0,0.0,REGIME_CONFOUNDED,market_or_temporal_direction_is_not_consistent,False
T5_GE_3,MOMENTUM,MACD_SIGNAL_12_26_9,0,6785,6785,0.12270438343084451,1.112919934935528,-0.2607379520132042,-0.10176903331550051,-0.1589689186977037,-0.9902155515046835,-0.04426478334737984,0.9680176860722178,-0.37605044927683534,0.3797662526158141,0.0,0.0,REGIME_CONFOUNDED,market_or_temporal_direction_is_not_consistent,False
T5_GE_3,MOMENTUM,MACD_HISTOGRAM_12_26_9,-20,6785,6785,0.20399528763967595,0.10120579948498812,0.009843868562576429,0.008665623851487255,0.0011782447110891738,0.10278948815468783,0.016713528740268182,0.9896831245394251,0.005623989217897182,0.05471366108403658,1.0,0.5,NO_CLEAR_SIGNAL,effect_below_predeclared_discovery_floor,False
T5_GE_3,MOMENTUM,MACD_HISTOGRAM_12_26_9,-10,6785,6785,-0.046356803131002364,-0.05916837527285572,-0.0002804068816283764,0.003444774426108348,-0.0037251813077367243,0.012811572141853356,0.0024373450079719578,0.985261606484893,-0.02137437703909366,1.6683648815641439,0.5,0.5,NO_CLEAR_SIGNAL,effect_below_predeclared_discovery_floor,False
