feature_family,feature_id,relative_day,horizon,t3_median,t5_median,t10_median,monotonicity,all_outcome_derived_values_evaluation_only
MOMENTUM,RAW_CLOSE_RETURN_20D,-20,5,-0.0027063599458728013,-0.0019267822736030828,0.006729475100942127,NONDECREASING,True
MOMENTUM,RAW_CLOSE_RETURN_20D,-20,10,0.0,-0.0011976047904191617,0.0022123893805309734,MIXED,True
MOMENTUM,RAW_CLOSE_RETURN_20D,-10,5,0.0,0.0027247956403269754,0.00825082508250825,NONDECREASING,True
MOMENTUM,RAW_CLOSE_RETURN_20D,-10,10,-0.0034662149173394848,-0.0025974025974025974,0.002173913043478261,NONDECREASING,True
MOMENTUM,RAW_CLOSE_RETURN_20D,-5,5,-0.023485784919653894,-0.0208078335373317,-0.013996889580093312,NONDECREASING,True
MOMENTUM,RAW_CLOSE_RETURN_20D,-5,10,-0.01845100890102486,-0.016210739614994935,-0.013605442176870748,NONDECREASING,True
MOMENTUM,RAW_CLOSE_RETURN_20D,-3,5,-0.03767660910518053,-0.03322259136212625,-0.024043715846994537,NONDECREASING,True
MOMENTUM,RAW_CLOSE_RETURN_20D,-3,10,-0.02552565313188543,-0.023622047244094488,-0.019969278033794162,NONDECREASING,True
MOMENTUM,RAW_CLOSE_RETURN_20D,-1,5,-0.052581261950286805,-0.04590818363273453,-0.0338409475465313,NONDECREASING,True
MOMENTUM,RAW_CLOSE_RETURN_20D,-1,10,-0.044544434200505065,-0.041990668740279936,-0.03879310344827586,NONDECREASING,True
MOMENTUM,RAW_CLOSE_RETURN_20D,0,5,-0.0694006309148265,-0.06227106227106227,-0.04878048780487805,NONDECREASING,True
MOMENTUM,RAW_CLOSE_RETURN_20D,0,10,-0.06440035952747816,-0.06103286384976526,-0.054634146341463415,NONDECREASING,True
MOMENTUM,RSI14,-20,5,49.316160566542806,49.48636788623513,50.76823055275772,NONDECREASING,True
MOMENTUM,RSI14,-20,10,49.666417039027806,49.81244828942026,50.404335359427705,NONDECREASING,True
MOMENTUM,RSI14,-10,5,49.56510376600964,49.94108648581011,50.924698582106195,NONDECREASING,True
MOMENTUM,RSI14,-10,10,49.114924177177244,49.096666179181575,49.70665349316981,MIXED,True
MOMENTUM,RSI14,-5,5,45.410507599872545,46.5563810437778,47.91972878041885,NONDECREASING,True
MOMENTUM,RSI14,-5,10,46.866922784306155,47.32458536646499,48.10143646473252,NONDECREASING,True
MOMENTUM,RSI14,-3,5,43.60388293868684,45.07213284233018,47.128865415601425,NONDECREASING,True
MOMENTUM,RSI14,-3,10,45.84316625455563,46.411771698178704,47.57974833163155,NONDECREASING,True
MOMENTUM,RSI14,-1,5,41.37585874589571,42.90746150517493,45.39433234004982,NONDECREASING,True
MOMENTUM,RSI14,-1,10,42.8765245575817,43.80906881949152,45.19749889339977,NONDECREASING,True
MOMENTUM,RSI14,0,5,38.582549226460344,40.411778539542304,43.29798184343091,NONDECREASING,True
MOMENTUM,RSI14,0,10,39.61658733745705,40.879665833995446,42.674402622331414,NONDECREASING,True
MOMENTUM,MACD_12_26_9,-20,5,-0.016238471267362255,0.022246112840555346,0.19130352422396552,NONDECREASING,True
MOMENTUM,MACD_12_26_9,-20,10,0.0017471363214814056,0.03236356409718867,0.11314700674204105,NONDECREASING,True
MOMENTUM,MACD_12_26_9,-10,5,-0.026037472885380775,0.00913704360242616,0.1729710012537482,NONDECREASING,True
MOMENTUM,MACD_12_26_9,-10,10,-0.030761681049992086,-0.021357065892086358,0.040066753459601416,NONDECREASING,True
MOMENTUM,MACD_12_26_9,-5,5,-0.1446705162090993,-0.09965657116724472,-0.0036893254491035046,NONDECREASING,True
MOMENTUM,MACD_12_26_9,-5,10,-0.12072494790827334,-0.11059618181946555,-0.043357581684843466,NONDECREASING,True
MOMENTUM,MACD_12_26_9,-3,5,-0.25292862833058627,-0.20792130932634706,-0.09714498180838371,NONDECREASING,True
MOMENTUM,MACD_12_26_9,-3,10,-0.1917814771253497,-0.17020512399706292,-0.10078231037029936,NONDECREASING,True
MOMENTUM,MACD_12_26_9,-1,5,-0.404140896153437,-0.3556557494581821,-0.21769405588484045,NONDECREASING,True
MOMENTUM,MACD_12_26_9,-1,10,-0.2976065642289224,-0.2817363266819847,-0.21688859210529804,NONDECREASING,True
MOMENTUM,MACD_12_26_9,0,5,-0.5547242403617006,-0.475987809154082,-0.3179114915704806,NONDECREASING,True
MOMENTUM,MACD_12_26_9,0,10,-0.44606806892006723,-0.40403830172129684,-0.34753547563087905,NONDECREASING,True
MOMENTUM,MACD_SIGNAL_12_26_9,-20,5,-0.000815082882602617,0.06147014422105011,0.2550883939003045,NONDECREASING,True
MOMENTUM,MACD_SIGNAL_12_26_9,-20,10,0.029179307331936827,0.05067548316276779,0.14890192053595103,NONDECREASING,True
MOMENTUM,MACD_SIGNAL_12_26_9,-10,5,-0.025747472911211943,0.0071356902562414205,0.1870109686289006,NONDECREASING,True
MOMENTUM,MACD_SIGNAL_12_26_9,-10,10,-0.025144940159118164,-0.003802297201213228,0.0728284366158542,NONDECREASING,True
MOMENTUM,MACD_SIGNAL_12_26_9,-5,5,-0.059411269297154165,-0.024483243894529973,0.10400959687394416,NONDECREASING,True
MOMENTUM,MACD_SIGNAL_12_26_9,-5,10,-0.050534998787299154,-0.039771309984010426,0.02381465373496116,NONDECREASING,True
MOMENTUM,MACD_SIGNAL_12_26_9,-3,5,-0.1216644536998818,-0.07952256679527564,0.044697450250818616,NONDECREASING,True
