entry_proxy,extension_band,horizon,event_count,unique_instruments,unique_dates,extension_mean,extension_median,forward_mean,forward_median,forward_trimmed_mean_10pct,forward_win_rate,forward_p05,forward_p25,forward_p75,forward_p95,mfe_mean,mfe_median,mfe_p25,mfe_p75,mae_mean,mae_median,mae_p25,mae_p75,outlier_driven
NEXT_SESSION_OPEN,GT_5PCT,1,217,187,49,0.09968935022872552,0.08965517241379306,-0.004770962000646331,0.0,-0.003984656761299905,0.3778801843317972,-0.07884049287065453,-0.03005008347245408,0.02264150943396226,0.06923623640041557,0.027922968972815643,0.02163461538461542,0.0,0.045955882352941124,-0.038265124344027915,-0.03179190751445082,-0.06016597510373456,-0.009493670886076,False
NEXT_SESSION_OPEN,GT_5PCT,3,209,181,47,0.10074726292126537,0.09234828496042224,0.0030964154482779286,-0.008474576271186418,-0.004256850627511062,0.46411483253588515,-0.13654830087819775,-0.06636155606407335,0.058139534883721034,0.20790649033748015,0.0846536857096682,0.07161125319693085,0.0326923076923078,0.1120000000000001,-0.06751712829554517,-0.06060606060606055,-0.09958506224066399,-0.025862068965517127,True
NEXT_SESSION_OPEN,GT_5PCT,5,205,178,45,0.10053527555812797,0.09225512528473812,0.006811746834182459,-0.013377926421404673,-0.00630408039773855,0.44878048780487806,-0.1825884925515922,-0.08728179551122195,0.06906077348066297,0.2953050587634134,0.11309672691571247,0.08947368421052637,0.04251700680272119,0.14375000000000004,-0.08715770621085954,-0.07530864197530862,-0.12599822537710736,-0.04117647058823526,True
NEXT_SESSION_OPEN,GT_5PCT,10,192,168,41,0.10101457942253646,0.09256589505753066,0.013853771380102452,-0.021333150881754248,-0.005798715843540109,0.4375,-0.2522527472527472,-0.10858268902500245,0.09565023155139435,0.4152047146401984,0.16453329739364464,0.10818513451892386,0.05591294298921423,0.2190135135135135,-0.11707453849625464,-0.10283676122537416,-0.16382161527792605,-0.05466480918608571,True
NEXT_SESSION_CLOSE,LE_0PCT,1,134,118,44,-0.030918333154624732,-0.022613208083180236,-0.00440453653750725,-0.004847382460351324,-0.0075116620649341255,0.3805970149253731,-0.0738374738374738,-0.037882002255760217,0.018041237113401998,0.09901500841916956,0.029319698550767805,0.0216744913928012,0.007337969801739064,0.053878905128991794,-0.03431488284343267,-0.02832620112818518,-0.054668534080298814,-0.013226557482337864,False
NEXT_SESSION_CLOSE,LE_0PCT,3,128,114,42,-0.030258412102305822,-0.021009079416159093,-0.004357308605138181,-0.020894979383943746,-0.013439324731210858,0.375,-0.12475664968873802,-0.06524768919699594,0.042206497907115725,0.18377616747181955,0.06290446674318918,0.041451890034364336,0.014471784671650001,0.08698934986488632,-0.05901275635797104,-0.05249648762563497,-0.09259061018504358,-0.021248865012106516,False
NEXT_SESSION_CLOSE,LE_0PCT,5,118,108,40,-0.03036551074405164,-0.021897664515270476,0.004641346282095283,-0.016315008128115205,-0.010416935841703497,0.4152542372881356,-0.16103828197945844,-0.06936799425879847,0.04519915051615986,0.3087944918749483,0.08690335405260247,0.056133831689049285,0.017028606314320516,0.12574562542801138,-0.07925375180057179,-0.07769014437467803,-0.12494584055459271,-0.027544904012523713,True
NEXT_SESSION_CLOSE,LE_0PCT,10,106,96,38,-0.029984048389475798,-0.02057648015174096,-0.0071928086874200195,-0.017221992069598124,-0.020379797053263014,0.4339622641509434,-0.24325089564312957,-0.11357113571135713,0.06239852902070009,0.28375000000000006,0.13183962908691935,0.0847092657242603,0.027436466075281718,0.18293372604538716,-0.11566717298917276,-0.0975567552602436,-0.171900202461725,-0.05075512824130243,False
NEXT_SESSION_CLOSE,GT_0_TO_1PCT,1,35,32,23,0.005238412395556998,0.005012531328320691,0.0007520976125484508,-0.003984063745020028,-0.0003450466013645924,0.4857142857142857,-0.07916042842335605,-0.03252686084414097,0.031877667324230696,0.09880438859714932,0.03664813098704035,0.027918781725888353,0.0069931759747917654,0.05702555713709068,-0.02869555544962613,-0.01897810218978102,-0.04764218564049394,-0.0054818133947998615,True
NEXT_SESSION_CLOSE,GT_0_TO_1PCT,3,32,29,20,0.00547965691456536,0.005238978659875215,0.002075495282998288,-0.0024937655860348684,-0.00418425671307952,0.46875,-0.1129956502553111,-0.05138975993174569,0.04352230633730503,0.15664661554732948,0.06286089956800714,0.030412772947039257,0.013436786695487979,0.09471508493311387,-0.046949604061040484,-0.03495790394042697,-0.08307605795311707,-0.006786362614059932,True
NEXT_SESSION_CLOSE,GT_0_TO_1PCT,5,30,27,19,0.0054496900227118655,0.005238978659875215,-0.015383025792865363,-0.014514904499320636,-0.01651381266954603,0.43333333333333335,-0.1892391477182382,-0.08687987133490041,0.046642153929020325,0.16383649236725564,0.0844825776758638,0.048834242789313365,0.020828170571303373,0.12727681123907542,-0.06701526189751227,-0.03699803465538898,-0.11208245700853656,-0.015493869164365098,False
NEXT_SESSION_CLOSE,GT_0_TO_1PCT,10,27,24,17,0.005345744324400977,0.005181347150258864,0.012742448761344335,0.021359223300970953,0.011295737288713643,0.5555555555555556,-0.23499473955812292,-0.04047420595609785,0.07163549908095579,0.23235800344234064,0.13286927335957407,0.11597374179431075,0.03390974118633949,0.19236762626911708,-0.08583599468071083,-0.044414535666218,-0.1266994426892904,-0.016472868217054293,False
NEXT_SESSION_CLOSE,GT_1_TO_2PCT,1,32,31,20,0.015264186326588373,0.015717638339920903,0.0011185363529640155,-0.009217835637350513,-0.0009105672456254249,0.40625,-0.0661964348555805,-0.03315955208393384,0.018565006339895163,0.09362518339339088,0.03517355383131918,0.027300921679115797,0.0062316686593896775,0.056873311718826536,-0.02493861521005849,-0.01756137248603229,-0.05240121878026974,-0.004704934779192205,True
