cohort,event_semantics,pretransition_window,horizon,pre_N,pre_outcome_n,pre_endpoint_mean,pre_endpoint_median,pre_mae_mean,pre_mae_median,d0_N,d0_outcome_n,d0_endpoint_mean,d0_endpoint_median,d0_mae_mean,d0_mae_median,pre_minus_d0_mean,pre_minus_d0_median,pre_mae_minus_d0_mean,pre_mae_minus_d0_median,d0_conditioning_disclosure,anti_leakage_status
BOTH_SAME_SESSION,CONFIRMED_TRANSITION,D-1,5,0,0,,,,,10,10,-0.010770487978762563,0.012461059190031154,-0.03987160776755364,-0.04049844236760125,,,,,D0 uses same-day MAIN_RISE price evidence thresholds; not independent predictive lift,PASS_D0_SEPARATED
BOTH_SAME_SESSION,CONFIRMED_TRANSITION,D-1,10,0,0,,,,,10,10,0.06382398827706195,0.0701530612244898,-0.04287912656454612,-0.04049844236760125,,,,,D0 uses same-day MAIN_RISE price evidence thresholds; not independent predictive lift,PASS_D0_SEPARATED
BOTH_WITHIN_1_SENSITIVITY,CANDIDATE_ONSET,D-3,5,1,1,0.0072992700729927005,0.0072992700729927005,-0.016058394160583942,-0.016058394160583942,5,5,-0.014098999166808865,-0.01020408163265306,-0.04578763330221414,-0.04049844236760125,0.021398269239801565,0.01750335170564576,0.029729239141630195,0.02444004820701731,D0 uses same-day MAIN_RISE price evidence thresholds; not independent predictive lift,PASS_D0_SEPARATED
BOTH_WITHIN_1_SENSITIVITY,CANDIDATE_ONSET,D-3,10,1,1,-0.00145985401459854,-0.00145985401459854,-0.017518248175182483,-0.017518248175182483,5,5,0.08569019344087857,0.1059190031152648,-0.051802670896199096,-0.04049844236760125,-0.08715004745547711,-0.10737885712986334,0.034284422721016616,0.022980194192418767,D0 uses same-day MAIN_RISE price evidence thresholds; not independent predictive lift,PASS_D0_SEPARATED
BOTH_WITHIN_1_SENSITIVITY,CANDIDATE_ONSET,D-2,5,4,4,0.06533734422002577,0.09020913909182063,-0.043387384806379235,-0.02519935061834505,5,5,-0.014098999166808865,-0.01020408163265306,-0.04578763330221414,-0.04049844236760125,0.07943634338683463,0.10041322072447369,0.0024002484958349016,0.0152990917492562,D0 uses same-day MAIN_RISE price evidence thresholds; not independent predictive lift,PASS_D0_SEPARATED
BOTH_WITHIN_1_SENSITIVITY,CANDIDATE_ONSET,D-2,10,4,4,0.07662120995081889,0.1005586592178771,-0.043387384806379235,-0.02519935061834505,5,5,0.08569019344087857,0.1059190031152648,-0.051802670896199096,-0.04049844236760125,-0.009068983490059676,-0.0053603438973876955,0.008415286089819861,0.0152990917492562,D0 uses same-day MAIN_RISE price evidence thresholds; not independent predictive lift,PASS_D0_SEPARATED
BOTH_WITHIN_1_SENSITIVITY,CANDIDATE_ONSET,D-1,5,1,1,-0.025423728813559365,-0.025423728813559365,-0.025423728813559365,-0.025423728813559365,5,5,-0.014098999166808865,-0.01020408163265306,-0.04578763330221414,-0.04049844236760125,-0.0113247296467505,-0.015219647180906305,0.02036390448865477,0.015074713554041885,D0 uses same-day MAIN_RISE price evidence thresholds; not independent predictive lift,PASS_D0_SEPARATED
BOTH_WITHIN_1_SENSITIVITY,CANDIDATE_ONSET,D-1,10,1,1,0.1271186440677965,0.1271186440677965,-0.025423728813559365,-0.025423728813559365,5,5,0.08569019344087857,0.1059190031152648,-0.051802670896199096,-0.04049844236760125,0.041428450626917926,0.021199640952531698,0.02637894208263973,0.015074713554041885,D0 uses same-day MAIN_RISE price evidence thresholds; not independent predictive lift,PASS_D0_SEPARATED
BOTH_WITHIN_1_SENSITIVITY,CONFIRMED_TRANSITION,D-3,5,1,1,-0.08666666666666667,-0.08666666666666667,-0.10266666666666668,-0.10266666666666668,13,13,-0.005727972207397018,0.012461059190031152,-0.04328928805541042,-0.04049844236760125,-0.08093869445926966,-0.09912772585669782,-0.05937737861125626,-0.06216822429906543,D0 uses same-day MAIN_RISE price evidence thresholds; not independent predictive lift,PASS_D0_SEPARATED
BOTH_WITHIN_1_SENSITIVITY,CONFIRMED_TRANSITION,D-3,10,1,1,-0.08266666666666667,-0.08266666666666667,-0.10266666666666668,-0.10266666666666668,13,13,0.10103121672479243,0.1059190031152648,-0.04560276405309694,-0.04049844236760125,-0.1836978833914591,-0.18858566978193148,-0.05706390261356974,-0.06216822429906543,D0 uses same-day MAIN_RISE price evidence thresholds; not independent predictive lift,PASS_D0_SEPARATED
BOTH_WITHIN_1_SENSITIVITY,CONFIRMED_TRANSITION,D-2,5,0,0,,,,,13,13,-0.005727972207397018,0.012461059190031152,-0.04328928805541042,-0.04049844236760125,,,,,D0 uses same-day MAIN_RISE price evidence thresholds; not independent predictive lift,PASS_D0_SEPARATED
BOTH_WITHIN_1_SENSITIVITY,CONFIRMED_TRANSITION,D-2,10,0,0,,,,,13,13,0.10103121672479243,0.1059190031152648,-0.04560276405309694,-0.04049844236760125,,,,,D0 uses same-day MAIN_RISE price evidence thresholds; not independent predictive lift,PASS_D0_SEPARATED
BOTH_WITHIN_1_SENSITIVITY,CONFIRMED_TRANSITION,D-1,5,1,1,-0.01020408163265306,-0.01020408163265306,-0.0326530612244898,-0.0326530612244898,13,13,-0.005727972207397018,0.012461059190031152,-0.04328928805541042,-0.04049844236760125,-0.004476109425256042,-0.022665140822684213,0.010636226830920623,0.007845381143111452,D0 uses same-day MAIN_RISE price evidence thresholds; not independent predictive lift,PASS_D0_SEPARATED
BOTH_WITHIN_1_SENSITIVITY,CONFIRMED_TRANSITION,D-1,10,1,1,0.3469387755102041,0.3469387755102041,-0.0326530612244898,-0.0326530612244898,13,13,0.10103121672479243,0.1059190031152648,-0.04560276405309694,-0.04049844236760125,0.24590755878541165,0.24101977239493927,0.012949702828607142,0.007845381143111452,D0 uses same-day MAIN_RISE price evidence thresholds; not independent predictive lift,PASS_D0_SEPARATED
